,,,,,,,,,,,,,,,,,,,,,
,24,23,24,22,20,21,24,23,24,22,20,20,21,24,23,24,22,20,21,24,23
"Åsane terminal",0,0,8.34,0,0,0,0,0,9.04,0,0,0,0,0,0,9.34,0,0,0,0,0
"Nedre Åstveit ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eidsvåg",0,0,8.42,0,0,0,0,0,9.12,0,0,0,0,0,0,9.42,0,0,0,0,0
"Lønborglien",8.4,0,0,0,9,0,9.1,0,0,0,9.3,0,0,9.4,0,0,0,10,0,10.1,0
"Nordre Lønborg ",8.42,0,8.52,0,9.02,0,9.12,0,9.22,0,9.32,0,0,9.42,0,9.52,0,10.02,0,10.12,0
"Handelshøyskolen ",8.47,0,8.57,0,9.07,0,9.17,0,9.27,0,9.37,0,0,9.47,0,9.57,0,10.07,0,10.17,0
"Olav Kyrres gate ",9,9,9.1,9.15,9.2,9.25,9.3,9.3,9.4,9.45,9.5,0,9.55,10,10,10.1,10.15,10.2,10.25,10.3,10.3
"Bergen Busstasjon",9.05,9.05,9.15,9.2,9.25,9.3,9.35,9.35,9.45,9.5,9.55,0,10,10.05,10.05,10.15,10.2,10.25,10.3,10.35,10.35
"Minde",9.17,9.17,9.27,9.3,9.33,9.42,9.47,9.47,9.57,10,10.03,0,10.12,10.17,10.17,10.27,10.3,10.33,10.42,10.47,10.47
"Nesttun ","09.25u",9.25,9.35,9.38,9.41,9.5,"09.55u",9.55,10.05,10.08,10.11,0,10.2,"10.25u",10.25,10.35,10.38,10.41,10.5,"10.55u",10.55
"Sædal/Birkelundstoppen",0,0,0,9.55,0,0,0,0,0,10.25,0,0,0,0,0,0,10.55,0,0,0,0
"Skjold",0,9.3,0,0,9.46,9.55,0,10,0,0,10.16,0,10.25,0,10.3,0,0,10.46,10.55,0,11
"Nordås",0,0,0,0,0,10,0,0,0,0,0,0,10.3,0,0,0,0,0,11,0,0
"Søråshøgda",0,0,0,0,0,10.05,0,0,0,0,0,0,10.35,0,0,0,0,0,11.05,0,0
"Lagunen",0,9.32,0,0,"09.48g",0,0,10.02,0,0,10.18,10.22,0,0,10.32,0,0,"10.48g",0,0,11.02
"Titlestad",0,0,0,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0
"Fana",0,0,0,0,0,0,0,0,0,0,0,10.35,0,0,0,0,0,0,0,0,0
,20,20,22,20,21,24,23,24,22,20,21,24,23,24,22,20,21,24,23,24,22
"Åsane terminal.................. 10.01",,0,0,0,0,0,0,10.34,0,0,0,0,0,11.04,0,0,0,0,0,11.34,0
"Nedre Åstveit .................... 10.07",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eidsvåg............................... 10.12",,0,0,0,0,0,0,10.42,0,0,0,0,0,11.12,0,0,0,0,0,11.42,0
"Lønborglien.......................",0,0,0,10.3,0,10.4,0,0,0,11,0,11.1,0,0,0,11.25,0,11.4,0,0,0
"Nordre Lønborg .................. 10.22",,0,0,10.32,0,10.42,0,10.52,0,11.02,0,11.12,0,11.22,0,11.27,0,11.42,0,11.52,0
"Handelshøyskolen.............. 10.27",,0,0,10.37,0,10.47,0,10.57,0,11.07,0,11.17,0,11.27,0,11.32,0,11.47,0,11.57,0
"Olav Kyrres gate ............... 10.40",,0,10.45,10.5,10.55,11,11,11.1,11.15,11.2,11.25,11.3,11.3,11.4,11.45,11.5,11.55,12,12,12.1,12.15
"Bergen Busstasjon........... 10.45",,0,10.5,10.55,11,11.05,11.05,11.15,11.2,11.25,11.3,11.35,11.35,11.45,11.5,11.55,12,12.05,12.05,12.15,12.2
"Minde.................................. 10.57",,0,11,11.03,11.12,11.17,11.17,11.27,11.3,11.33,11.42,11.47,11.47,11.57,12,12.03,12.12,12.17,12.17,12.27,12.3
"Nesttun .............................. 11.05",,11.05,11.08,11.11,11.2,"11.25u",11.25,11.35,11.38,11.41,11.5,"11.55u",11.55,12.05,12.08,12.11,12.2,"12.25u",12.25,12.35,12.38
"Sædal/Birkelundstoppen....",0,0,11.25,0,0,0,0,0,11.55,0,0,0,0,0,12.25,0,0,0,0,0,12.55
"Skjold..................................",0,11.1,0,11.16,11.25,0,11.3,0,0,11.46,11.55,0,12,0,0,12.16,12.25,0,12.3,0,0
"Nordås................................",0,0,0,0,11.3,0,0,0,0,0,12,0,0,0,0,0,12.3,0,0,0,0
"Søråshøgda........................",0,0,0,0,11.35,0,0,0,0,0,12.05,0,0,0,0,0,12.35,0,0,0,0
"Lagunen..............................",0,11.12,0,"11.18g",0,0,11.32,0,0,11.48,0,0,12.02,0,0,12.18,0,0,12.32,0,0
"Titlestad..............................",0,11.22,0,0,0,0,0,0,0,11.58,0,0,0,0,0,12.28,0,0,0,0,0
"Fana....................................",0,"11.25b",0,0,0,0,0,0,0,"12.01b",0,0,0,0,0,"12.31b",0,0,0,0,0
